ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
10721,15304,1.0
10721,16442,1.0
10754,11630,1.0
10754,13767,1.0
10754,13767,1.0
10754,14102,1.0
10754,14102,1.0
10754,14125,1.0
10754,14125,1.0
10775,10754,1.0
10775,11630,1.0
10775,14709,1.0
10781,14783,1.0
10783,10184,1.0
10783,11214,1.0
10783,11214,1.0
10783,14804,1.0
10785,10257,1.0
10785,12197,1.0
10785,12244,1.0
10785,12250,1.0
10785,13541,1.0
10785,13930,1.0
10785,14332,1.0
10785,14683,1.0
10785,15096,1.0
10785,15167,1.0
10785,15167,1.0
10785,15167,1.0
10785,15167,1.0
10792,10397,1.0
10792,10599,1.0
10792,10800,1.0
10792,10849,1.0
10792,10868,1.0
10792,11109,1.0
10792,12222,1.0
10792,13398,1.0
10792,14893,1.0
10800,10423,1.0
10800,10821,1.0
10800,10849,1.0
10800,11042,1.0
10800,11066,1.0
10800,11996,1.0
10800,12889,1.0
10800,13244,1.0
10800,13244,1.0
10800,13303,1.0
10800,13487,1.0
10800,13495,1.0
10800,13771,1.0
10800,13871,1.0
10800,14107,1.0
10800,14570,1.0
10800,14635,1.0
10800,14635,1.0
10800,14712,1.0
10800,15304,1.0
10800,15304,1.0
10815,10257,1.0
10815,10535,1.0
10815,12250,1.0
10821,10279,1.0
10821,10540,1.0
10821,10721,1.0
10821,10849,1.0
10821,10868,1.0
10821,11057,1.0
10821,11278,1.0
10821,11278,1.0
10821,12197,1.0
10821,12953,1.0
10821,12953,1.0
10821,13541,1.0
10821,13541,1.0
10821,13931,1.0
10821,14100,1.0
10821,14193,1.0
10821,14193,1.0
10821,14492,1.0
10821,14570,1.0
10821,14869,1.0
10821,14899,1.0
10821,15023,1.0
10821,15167,1.0
10849,11109,1.0
10849,12191,1.0
10849,14683,1.0
10857,11764,1.0
10857,14679,1.0
10857,15167,1.0
10868,10208,1.0
10868,12478,1.0
10886,12523,1.0
10888,13931,1.0
10917,11445,1.0
10917,12663,1.0
10917,12663,1.0
10917,12663,1.0
10917,12784,1.0
10917,13704,1.0
10917,14167,1.0
10917,14738,1.0
10917,14738,1.0
10927,10154,1.0
10927,10540,1.0
10927,10540,1.0
10927,10540,1.0
10927,10990,1.0
10927,13541,1.0
10938,11630,1.0
10958,11450,1.0
10958,11450,1.0
10958,14673,1.0
10958,15051,1.0
10958,15051,1.0
10961,15741,1.0
10961,15741,1.0
10961,15741,1.0
10967,13461,1.0
10967,15138,1.0
10967,15374,1.0
10990,10927,1.0
10990,12244,1.0
10990,13685,1.0
10990,14212,1.0
10990,15167,1.0
10994,10721,1.0
10994,10792,1.0
10994,11066,1.0
10994,11140,1.0
10994,11540,1.0
10994,13158,1.0
10994,13204,1.0
10994,13931,1.0
10994,14730,1.0
10994,14908,1.0
10996,10304,1.0
10996,10304,1.0
10996,10551,1.0
